function,swap,jen3,eye,prefix,
md5,x,,x,crypto,
sha,x,x,x,crypto,
sha256,,,x,crypto,
sha512,,,x,crypto,
sign,x,,,crypto,
verify,x,,,crypto,
verifyBoolean,x,,,crypto,
avg,,,x,e,
becomes,,,x,e,
before,,,x,e,
biconditional,,,x,e,
binaryEntropy,,,x,e,
calculate,,,x,e,
call,,,x,e,
cartesianProduct,,,x,e,
closure,,,x,e,
compoundTerm,,,x,e,
cov,,,x,e,
csvTuple,,,x,e,
derive,,,x,e,
exec,,,x,e,
fail,,,x,e,
fileString,,,x,e,
finalize,,,x,e,
findall,,,x,e,
firstRest,,,x,e,
format,,,x,e,
graphCopy,,,x,e,
graphDifference,,,x,e,
graphIntersection,,,x,e,
graphList,,,x,e,
graphMember,,,x,e,
graphPair,,,x,e,
hmac-sha,,,x,e,
ignore,,,x,e,
label,,,x,e,
labelvars,,,x,e,
length,,,x,e,
match,,,x,e,
max,,,x,e,
min,,,x,e,
multisetEqualTo,,,x,e,
multisetNotEqualTo,,,x,e,
notLabel,,,x,e,
numeral,,,x,e,
optional,,,x,e,
pcc,,,x,e,
prefix,,,x,e,
propertyChainExtension,,,x,e,
qual,,,x,e,
random,,,x,e,
relabel,,,x,e,
reverse,,,x,e,
rms,,,x,e,
roc,,,x,e,
sha,,,x,e,
sigmoid,,,x,e,
skolem,,,x,e,
sort,,,x,e,
std,,,x,e,
stringEscape,,,x,e,
stringReverse,,,x,e,
stringSplit,,,x,e,
subsequence,,,x,e,
trace,,,x,e,
transaction,,,x,e,
transpose,,,x,e,
tripleList,,,x,e,
tuple,,,x,e,
unique,,,x,e,
whenGround,,,x,e,
wwwFormEncode,,,x,e,
listFiles,,x,,file,
PlainLiteral-compare,,,x,func,
PlainLiteral-from-string-lang,,,x,func,
PlainLiteral-length,,,x,func,
add-dayTimeDuration-to-date,,,x,func,
add-dayTimeDuration-to-dateTime,,,x,func,
add-dayTimeDuration-to-time,,,x,func,
add-dayTimeDurations,,,x,func,
add-yearMonthDuration-to-date,,,x,func,
add-yearMonthDuration-to-dateTime,,,x,func,
add-yearMonthDurations,,,x,func,
append,,,x,func,
compare,,,x,func,
concat,,,x,func,
concatenate,,,x,func,
count,,,x,func,
day-from-date,,,x,func,
day-from-dateTime,,,x,func,
days-from-duration,,,x,func,
distinct-values,,,x,func,
divide-dayTimeDuration,,,x,func,
divide-dayTimeDuration-by-dayTimeDuration,,,x,func,
divide-yearMonthDuration,,,x,func,
